Rank,store,antecedent,consequent,lift
0,3509,4316677,4286677,1984.951613
1,3509,4316677,4336677,1984.951613
2,3509,1562109,3592109,1864.651515
3,3509,5680800,6780800,1783.57971
4,3509,2550800,2690800,1758.1
5,3509,2950556,150930,1663.067568
6,3509,2950556,3170556,1663.067568
7,3509,3170556,170888,1663.067568
8,3509,3170556,170888,1663.067568
9,3509,3170556,150930,1663.067568
10,3509,2950556,150930,1663.067568
11,3509,3170556,150930,1663.067568
12,3509,2950556,170888,1663.067568
13,3509,2950556,3170556,1663.067568
14,3509,2950556,3170556,1663.067568
15,3509,2950556,150930,1663.067568
16,3509,3170556,480888,1640.893333
17,3509,2950556,480888,1640.893333
18,3509,2950556,160930,1640.893333
19,3509,2950556,3170556,1640.893333
20,3509,2950556,170888,1640.893333
21,3509,3170556,170888,1640.893333
22,3509,3170556,3220556,1640.893333
23,3509,170888,480888,1640.893333
24,3509,3170556,3220556,1640.893333
25,3509,3220556,170888,1640.893333
26,3509,480888,3220556,1640.893333
27,3509,3220556,150930,1640.893333
28,3509,2950556,3170556,1640.893333
29,3509,3170556,150930,1640.893333
30,3509,2950556,480888,1640.893333
31,3509,2950556,150930,1640.893333
32,3509,3170556,170888,1640.893333
33,3509,3220556,170888,1640.893333
34,3509,150930,170888,1640.893333
35,3509,2950556,3170556,1640.893333
36,3509,2950556,3220556,1640.893333
37,3509,3170556,480888,1640.893333
38,3509,2950556,480888,1640.893333
39,3509,2950556,170888,1640.893333
40,3509,3170556,480888,1640.893333
41,3509,2950556,150930,1640.893333
42,3509,170888,160930,1640.893333
43,3509,3170556,160930,1640.893333
44,3509,3220556,160930,1640.893333
45,3509,3220556,150930,1640.893333
46,3509,3170556,150930,1640.893333
47,3509,3170556,150930,1640.893333
48,3509,3220556,150930,1640.893333
49,3509,2950556,150930,1640.893333
50,3509,2950556,3170556,1640.893333
51,3509,2950556,3170556,1640.893333
52,3509,3170556,480888,1640.893333
53,3509,2950556,3170556,1640.893333
54,3509,2950556,3170556,1640.893333
55,3509,2950556,480888,1640.893333
56,3509,2950556,480888,1640.893333
57,3509,2950556,3170556,1640.893333
58,3509,150930,170888,1640.893333
59,3509,2950556,170888,1640.893333
60,3509,3170556,150930,1640.893333
61,3509,2950556,150930,1640.893333
62,3509,2950556,3170556,1640.893333
63,3509,3170556,480888,1640.893333
64,3509,2950556,3170556,1640.893333
65,3509,2950556,3170556,1640.893333
66,3509,2950556,150930,1640.893333
67,3509,2950556,3170556,1640.893333
68,3509,2950556,3220556,1640.893333
69,3509,6592108,6732108,1619.302632
70,3609,2282109,3592109,1605.220183
71,3509,2950556,150930,1598.272727
72,3509,3170556,3220556,1598.272727
73,3509,2950556,3220556,1598.272727
74,3509,3170556,150930,1598.272727
75,3509,2950556,3220556,1598.272727
76,3509,2950556,3220556,1598.272727
77,3509,2950556,3220556,1598.272727
78,3509,3170556,150930,1598.272727
79,3509,3220556,170888,1598.272727
80,3509,3170556,3220556,1598.272727
81,3509,3220556,170888,1598.272727
82,3509,3170556,150930,1598.272727
83,3509,2950556,3220556,1598.272727
84,3509,2950556,3170556,1598.272727
85,3509,2950556,150930,1598.272727
86,3509,2950556,3170556,1598.272727
87,3509,3220556,150930,1598.272727
88,3509,2950556,3170556,1598.272727
89,3509,2950556,150930,1598.272727
90,3509,3170556,3220556,1598.272727
91,3509,2950556,150930,1598.272727
92,3509,3170556,3220556,1598.272727
93,3509,2950556,3220556,1598.272727
94,3509,2690800,2310800,1598.272727
95,3509,3220556,150930,1598.272727
96,3509,2950556,3220556,1598.272727
97,3509,3103309,7903513,1598.272727
98,3509,3170556,3220556,1598.272727
99,3509,2950556,3170556,1598.272727
100,3509,5996458,5986458,1598.272727
101,3509,3103309,2044365,1590.760282
102,3609,1988302,2478302,1567.254529
103,3609,2448302,1958302,1552.97929
104,3509,4316677,4286677,1538.3375
105,3509,4286677,4336677,1538.3375
106,3509,1362472,1752472,1500.817073
107,3509,5996458,5986458,1496.760811
108,3509,5996458,6006458,1496.760811
109,3509,8422644,8412644,1482.73494
110,3609,6592108,6732108,1475.433036
111,3509,6712108,6732108,1461.321887
112,3509,1362472,1752472,1447.847059
113,3509,5986458,6006458,1438.445455
114,3509,4036061,4056061,1431.011628
115,3509,4046061,4036061,1431.011628
116,3509,5382521,5362521,1424.966046
117,3609,5386691,5396691,1420.99516
118,3509,2950556,170888,1414.563218
119,3509,2950556,150930,1414.563218
120,3509,2950556,3170556,1414.563218
121,3509,2950556,170888,1414.563218
122,3509,8352157,7792157,1414.563218
123,3509,1752472,1652472,1414.563218
124,3509,2950556,150930,1414.563218
125,3509,7792157,8352157,1414.563218
126,3609,6452109,3592109,1375.903014
127,3509,2950556,3170556,1374.802523
128,3509,3170556,3220556,1374.802523
129,3509,2950556,3220556,1374.802523
130,3509,3170556,480888,1374.802523
131,3509,2950556,3220556,1374.802523
132,3509,1362472,1652472,1364.637458
133,3509,2950556,3220556,1359.450366
134,3509,6592108,6732108,1352.83511
135,3509,2550800,2690800,1337.684783
136,3509,4046061,4056061,1334.538934
137,3509,5472521,5452521,1325.551587
138,3509,8702108,760888,1323.301075
139,3509,8702108,760888,1323.301075
140,3509,8702108,9862108,1323.301075
141,3509,4046061,4036061,1322.654617
142,3509,3220556,480888,1321.238788
143,3509,150930,170888,1309.223404
144,3509,6532574,6402574,1305.256061
145,3609,6510353,6520353,1301.852679
146,3509,5472521,5482521,1281.947917
147,3509,2963309,183532,1274.289924
148,3509,6592108,6712108,1253.847175
149,3609,6510353,6500353,1252.501401
150,3509,5452521,5482521,1251.082397
151,3509,2550800,2310800,1216.077075
152,3509,5472521,5452521,1209.928371
153,3509,150930,170888,1194.825243
154,3509,2950556,480888,1169.372261
155,3609,6520353,6500353,1155.257503
156,3609,7658632,7648632,1152.349597
157,3509,160930,480888,1150.158879
158,3509,170888,160930,1150.158879
159,3509,7792157,7502157,1148.342664
160,3509,6452109,5042109,1139.509259
161,3509,760888,180930,1130.319668
162,3609,6410353,6400353,1100.587783
163,3509,3170556,150930,1096.916906
164,3609,6072521,6062521,1093.55625
165,3509,3103309,2044365,1085.065888
166,3509,150930,160930,1082.291348
167,3509,1098342,998342,1081.371032
168,3509,7903513,2044365,1079.965696
169,3609,6410353,6400353,1074.330374
170,3509,8352157,7502157,1069.146619
171,3509,8702108,9862108,1058.64086
172,3609,6400353,6370353,1056.558607
173,3509,3220556,150930,1054.179884
174,3509,150930,160930,1049.659559
175,3509,978342,998342,1048.133517
176,3509,6782521,6792521,1042.463141
177,3509,760888,9862108,1032.820351
178,3609,6410353,6370353,1023.476537
179,3609,8142644,8122644,1020.356744
180,3609,6440353,6450353,1019.215145
181,3509,858342,978342,1015.883255
182,3609,6340353,6300353,1009.436538
183,3609,6440353,6460353,1008.014979
184,3509,3170556,150930,1001.069798
185,3509,150930,480888,987.7222006
186,3509,2950556,6892574,984.536
187,3509,2950556,480888,984.536
188,3509,2950556,6892574,984.536
189,3509,2950556,480888,984.536
190,3509,3170556,6892574,984.536
191,3509,3170556,480888,984.536
192,3509,480888,6892574,984.536
193,3509,2950556,3170556,984.536
194,3509,2950556,6892574,984.536
195,3509,3170556,480888,984.536
196,3509,3170556,6892574,984.536
197,3509,6892574,170888,984.536
198,3509,480888,6892574,984.536
199,3509,2950556,3170556,984.536
200,3509,2950556,3170556,984.536
201,3509,2950556,480888,984.536
202,3509,3170556,480888,984.536
203,3509,2950556,3170556,984.536
204,3509,2950556,3170556,984.536
205,3509,3170556,6892574,984.536
206,3509,480888,6892574,984.536
207,3509,2950556,3220556,984.536
208,3509,6892574,170888,984.536
209,3509,2950556,6892574,984.536
210,3509,2950556,3220556,984.536
211,3509,2950556,6892574,984.536
212,3509,3170556,3220556,984.536
213,3509,3170556,6892574,984.536
214,3509,3220556,6892574,984.536
215,3509,2950556,6892574,984.536
216,3509,2950556,6892574,984.536
217,3509,6892574,170888,984.536
218,3509,3170556,3220556,984.536
219,3509,3170556,6892574,984.536
220,3509,3220556,6892574,984.536
221,3509,2950556,6892574,984.536
222,3509,2950556,3220556,984.536
223,3509,3170556,3220556,984.536
224,3509,2950556,6892574,984.536
225,3509,2950556,480888,984.536
226,3509,2950556,6892574,984.536
227,3509,3170556,480888,984.536
228,3509,3170556,6892574,984.536
229,3509,2950556,3170556,984.536
230,3509,2950556,3170556,984.536
231,3509,2950556,480888,984.536
232,3509,3170556,480888,984.536
233,3509,2950556,3170556,984.536
234,3509,2950556,3170556,984.536
235,3509,2950556,3170556,984.536
236,3509,2950556,480888,984.536
237,3509,3170556,480888,984.536
238,3509,2950556,3170556,984.536
239,3509,3170556,6892574,984.536
240,3509,2950556,3170556,984.536
241,3509,2950556,3170556,984.536
242,3509,2950556,480888,984.536
243,3509,3170556,480888,984.536
244,3509,2950556,3170556,984.536
245,3509,2950556,3170556,984.536
246,3509,2950556,3170556,984.536
247,3509,2950556,3170556,984.536
248,3509,2950556,3170556,984.536
249,3509,3170556,480888,984.536
250,3509,2950556,480888,984.536
251,3509,2950556,3170556,984.536
252,3509,480888,6892574,984.536
253,3509,2950556,3170556,984.536
254,3509,2950556,3170556,984.536
255,3509,2950556,480888,984.536
256,3509,3170556,480888,984.536
257,3509,2950556,3170556,984.536
258,3509,2950556,3170556,984.536
259,3509,2950556,480888,984.536
260,3509,3170556,480888,984.536
261,3509,2950556,3170556,984.536
262,3509,2950556,3170556,984.536
263,3509,2950556,6892574,984.536
264,3509,2950556,480888,984.536
265,3509,3170556,6892574,984.536
266,3509,3170556,480888,984.536
267,3509,480888,6892574,984.536
268,3509,2950556,3170556,984.536
269,3509,3220556,6892574,984.536
270,3509,6892574,3220556,984.536
271,3509,6892574,170888,984.536
272,3509,3220556,150930,984.536
273,3509,3170556,150930,984.536
274,3509,150930,6892574,984.536
275,3509,2950556,150930,984.536
276,3509,150930,170888,984.536
277,3509,3170556,6892574,984.536
278,3509,3220556,6892574,984.536
279,3509,6892574,6422574,984.536
280,3509,2950556,150930,984.536
281,3509,3220556,6892574,984.536
282,3509,2950556,150930,984.536
283,3509,3170556,6892574,984.536
284,3509,2950556,150930,984.536
285,3509,3220556,150930,984.536
286,3509,2950556,6892574,984.536
287,3509,3170556,150930,984.536
288,3509,150930,6892574,984.536
289,3509,3170556,150930,984.536
290,3509,3220556,6892574,984.536
291,3509,3170556,6892574,984.536
292,3509,2950556,6892574,984.536
293,3509,3170556,150930,984.536
294,3509,2950556,150930,984.536
295,3509,150930,170888,984.536
296,3509,3220556,150930,984.536
297,3509,2950556,150930,984.536
298,3509,150930,170888,984.536
299,3509,3220556,150930,984.536
300,3509,3170556,150930,984.536
301,3509,2950556,6892574,984.536
302,3609,6490353,6480353,981.0521641
303,3509,3170556,160930,963.6466279
304,3509,3220556,150930,962.0670786
305,3509,8702108,760888,960.5229268
306,3509,6792521,6762521,960.0151316
307,3509,4318362,4648362,954.0077519
308,3509,8552157,7522157,948.815873
309,3509,2950556,150930,933.0097823
310,3509,3220556,160930,926.1019541
311,3609,8142644,8132644,924.6982996
312,3509,6782521,6792521,915.6770833
313,3509,858342,1098342,913.2987013
314,3509,9862108,180930,910.6588045
315,3509,978342,1098342,900.3746631
316,3509,6782521,6762521,886.3551247
317,3509,760888,9862108,882.2007168
318,3609,8122644,8132644,861.7698709
319,3609,978342,1098342,851.8451801
320,3509,2950556,150930,851.4846557
321,3509,9694364,2044365,849.8263786
322,3509,8702108,180930,846.9126882
323,3609,6470353,6480353,832.268858
324,3509,4316677,4286677,831.5337838
325,3509,4316677,928363,831.5337838
326,3509,4286677,4336677,831.5337838
327,3509,4316677,4286677,831.5337838
328,3509,928363,4336677,831.5337838
329,3509,4316677,928363,831.5337838
330,3509,3170556,3220556,824.8815135
331,3509,2950556,3220556,824.8815135
332,3509,2950556,6892574,824.8815135
333,3509,2950556,3220556,824.8815135
334,3509,3170556,6892574,824.8815135
335,3509,8702108,760888,820.4466667
336,3509,8702108,7952108,820.4466667
337,3509,2950556,160930,819.6534536
338,3509,6892574,160930,813.8830933
339,3509,6892574,480888,813.8830933
340,3509,858342,978342,812.7066038
341,3509,3220556,6892574,792.7432727
342,3509,4286677,928363,769.16875
343,3609,8142644,8122644,769.1252398
344,3609,6490353,6470353,760.1433667
345,3509,928363,668363,754.791764
346,3509,6152521,6112521,738.1955117
347,3509,6152521,6092521,735.2348346
348,3509,6082521,6152521,721.5913015
349,3509,6742521,6642521,715.6899285
350,3509,2950556,6892574,701.6233563
351,3509,6072521,6032521,693.9868421
352,3509,6082521,6112521,684.7644697
353,3509,9708362,578363,672.0565749
354,3509,6742521,6752521,658.1122995
355,3509,150930,6892574,649.3748085
356,3509,4318362,4648362,641.4034696
357,3509,928363,668363,635.5293919
358,3509,6072521,6062521,628.177745
359,3509,6742521,6642521,615.0928375
360,3509,4318362,5168362,601.6265102
361,3609,518363,578363,598.6481752
362,3509,6082521,6152521,598.2423611
363,3509,150930,6892574,592.6333204
364,3509,6642521,6752521,590.2118241
365,3509,9848362,578363,589.8048747
366,3509,6072521,6032521,588.4093865
367,3509,668363,9648362,576.8765625
368,3509,6892574,160930,570.4788037
369,3509,9848362,9708362,553.9618574
370,3509,4648362,5168362,551.905311
371,3509,928363,9648362,545.6940456
372,3509,4898362,4318362,525.1792319
373,3509,6032521,6062521,518.1248998
374,3509,4898362,5168362,490.9513577
375,3609,6208362,5938362,460.7272472
376,3509,518363,9578362,415.5837616
377,3509,4898362,6738362,382.6923327
378,3509,3524026,3978011,195.0790308
379,3609,3988011,2716578,184.7334842
380,3609,3988011,3898011,104.8666187
381,3609,3898011,3968011,104.1039524
382,3609,3690654,3898011,100.3505446
383,3509,3898011,3968011,91.31030483
384,3409,3690654,3968011,83.21248639
385,3409,3898011,3968011,80.34192578
386,3509,3978011,3898011,71.39811003
387,3409,3998011,2726578,66.81223573
388,3609,5528349,8798636,65.10168561
389,3509,3898011,3998011,60.07889746
390,3609,2783996,8798636,56.60102273
391,3509,3524026,3898011,56.22887657
392,3409,3898011,2726578,52.31857613
393,3509,3524026,3978011,48.24210963
394,3409,3978011,3898011,47.42556123
395,3409,3690654,3898011,45.56323908
396,3609,3524026,3898011,41.5393303
397,3409,3898011,3998011,38.58630952
398,3509,3524026,803921,34.82750288
399,3409,803921,3898011,34.18461199
400,3409,3524026,3898011,33.19626854
401,3609,3524026,3978011,29.25240748
402,3409,3524026,3978011,28.86684751
403,3509,5268597,4992993,14.82826557
404,3509,4108011,5268597,13.72914173
405,3509,5268597,803921,13.25493786
406,3609,4108011,5268597,13.17112035
407,3509,3161221,5268597,12.8342044
408,3609,5268597,6318344,12.511412
409,3609,5268597,1832285,11.30242345
410,3509,5268597,1832285,11.30192855
411,3609,5268597,3998011,11.16744203
412,3609,5268597,2726578,10.82670702
413,3609,5268597,803921,10.57085767
414,3509,5268597,3978011,10.36674481
415,3509,5268597,3524026,10.22987544
416,3509,5268597,3998011,10.08952654
417,3409,4108011,5268597,10.07270611
418,3609,5268597,3978011,9.822140084
419,3409,5268597,6318344,9.771746816
420,3609,5268597,726718,9.768457463
421,3509,5268597,3898011,9.673013178
422,3409,5268597,3559555,9.488334582
423,3609,5268597,3524026,9.245482456
424,3409,5268597,1832285,8.540137972
425,3409,5268597,3524026,8.537997184
426,3409,5268597,3998011,8.220795206
427,3409,4976322,5268597,8.073302185
428,3409,5268597,4138348,8.023782685
429,3409,5268597,726718,7.920234469
430,3409,5268597,2698353,7.771378925
431,3409,5268597,803921,7.756132219
432,3409,3690654,5268597,7.694939132
433,3409,5268597,3978011,7.58472884
434,3409,5268597,2726578,6.9465941
435,3409,3868338,5268597,6.571923573
436,3409,5268597,3968011,6.50593673
437,3409,3161221,5268597,5.300262952
438,3409,5268597,3898011,5.033627275
